rowno,Make,Model,Year,Engine_Fuel_Type,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Number_of_Doors,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,MSRP
2820,Dodge,Charger,2016,regular unleaded,292.0,6.0,AUTOMATIC,all wheel drive,4,,Large,Sedan,31,19,1851,31995
2821,Subaru,BRZ,2015,premium unleaded (required),200.0,4.0,MANUAL,rear wheel drive,2,,Compact,Coupe,30,22,640,27695
2822,Volkswagen,Routan,2010,regular unleaded,197.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Passenger Minivan,23,16,873,30600
2823,Acura,RL,2012,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,204,52350
2824,Suzuki,Reno,2008,regular unleaded,127.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,28,20,481,13839
2825,Hyundai,Santa Fe Sport,2015,regular unleaded,190.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,25,19,1439,26700
2826,BMW,M6 Gran Coupe,2015,premium unleaded (required),560.0,8.0,AUTOMATED_MANUAL,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,20,14,3916,115700
2827,Ford,Explorer Sport Trac,2010,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4,,Compact,Crew Cab Pickup,19,13,5657,30735
2828,Acura,RL,2011,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,24,17,204,55150
2829,Cadillac,STS-V,2007,premium unleaded (required),469.0,8.0,AUTOMATIC,rear wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,19,12,1624,75010
2830,Ford,Escape Hybrid,2010,regular unleaded,177.0,4.0,AUTOMATIC,all wheel drive,4,,Compact,4dr SUV,27,30,5657,34120
2831,Chevrolet,Corvette,2017,premium unleaded (recommended),460.0,8.0,MANUAL,rear wheel drive,2,,Compact,Coupe,25,16,1385,60450
2832,Buick,Roadmaster,1995,regular unleaded,260.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,Sedan,23,15,155,2000
2833,FIAT,500,2016,premium unleaded (recommended),101.0,4.0,MANUAL,front wheel drive,2,,Compact,Convertible,40,31,819,24495
2834,Dodge,RAM 250,1991,regular unleaded,170.0,8.0,MANUAL,rear wheel drive,2,,Large,Extended Cab Pickup,13,11,1851,2000
2835,Cadillac,Escalade Hybrid,2011,regular unleaded,332.0,8.0,AUTOMATIC,four wheel drive,4,,Large,4dr SUV,23,20,1624,76685
2836,Audi,S7,2016,premium unleaded (required),450.0,8.0,AUTOMATED_MANUAL,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Large,Sedan,27,17,3105,82900
2837,Suzuki,Kizashi,2013,regular unleaded,180.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,29,22,481,27199
2838,Pontiac,Grand Am,2003,regular unleaded,175.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,27,18,210,21690
2839,Lexus,RX 350,2017,regular unleaded,295.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,26,19,454,44420
2840,Oldsmobile,LSS,1998,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,4,,Large,Sedan,25,16,26,2444
2841,BMW,5 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,all wheel drive,4,"Hatchback,Luxury",Large,4dr Hatchback,26,18,3916,63200
2842,Mercedes-Benz,500-Class,1993,regular unleaded,315.0,8.0,AUTOMATIC,rear wheel drive,2,Luxury,Large,Coupe,16,12,617,3176
2843,Saab,9000,1996,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,4dr Hatchback,24,16,376,2000
2844,Ford,Mustang,2017,premium unleaded (recommended),435.0,8.0,MANUAL,rear wheel drive,2,Performance,Midsize,Coupe,25,15,5657,36645
2845,Chevrolet,Sonic,2016,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,35,24,1385,17545
2846,Audi,A5,2016,premium unleaded (required),220.0,4.0,AUTOMATIC,all wheel drive,2,,Midsize,Coupe,31,22,3105,43800
2847,Toyota,Corolla,2016,regular unleaded,132.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,37,29,2031,23125
2848,Mercedes-Benz,GL-Class,2014,premium unleaded (required),362.0,8.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Large,4dr SUV,19,14,617,64550
2849,Cadillac,XTS,2015,regular unleaded,304.0,6.0,AUTOMATIC,front wheel drive,4,"Luxury,Performance",Large,Sedan,28,18,1624,49000
2850,Lincoln,MKZ,2016,regular unleaded,231.0,4.0,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Sedan,31,22,61,37080
2851,Audi,A7,2016,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4,,Large,Sedan,35,24,3105,73050
2852,Volkswagen,Beetle,2015,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2,,Compact,2dr Hatchback,31,23,873,31375
2853,Ford,Fusion Hybrid,2017,regular unleaded,188.0,4.0,AUTOMATIC,front wheel drive,4,Hybrid,Midsize,Sedan,41,43,5657,37020
2854,Lincoln,MKT,2015,regular unleaded,303.0,6.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Large,Wagon,25,17,61,43210
2855,Ferrari,360,2004,premium unleaded (required),425.0,8.0,AUTOMATED_MANUAL,rear wheel drive,2,,Compact,Coupe,15,10,2774,187124
2856,Chevrolet,Silverado 1500,2016,regular unleaded,355.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,Extended Cab Pickup,23,16,1385,41250
2857,Saab,900,1997,regular unleaded,150.0,4.0,MANUAL,front wheel drive,2,,Compact,Convertible,26,18,376,2000
2858,Saab,900,1997,regular unleaded,185.0,4.0,MANUAL,front wheel drive,2,,Compact,2dr Hatchback,25,18,376,2000
2859,Honda,Civic,2017,regular unleaded,158.0,4.0,AUTOMATIC,front wheel drive,2,,Compact,Coupe,39,30,2202,19950
2860,Honda,Passport,2002,regular unleaded,205.0,6.0,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,19,15,2202,27600
2861,Infiniti,G Sedan,2012,premium unleaded (recommended),328.0,6.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,25,18,190,38500
2862,Acura,ILX,2016,premium unleaded (recommended),201.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,Luxury,Compact,Sedan,36,25,204,32900
2863,Ford,Explorer Sport Trac,2009,regular unleaded,292.0,8.0,AUTOMATIC,four wheel drive,4,,Compact,Crew Cab Pickup,19,14,5657,33670
2864,Volvo,XC60,2016,regular unleaded,240.0,4.0,AUTOMATIC,front wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,31,23,870,44150
2865,Mercedes-Benz,CLK-Class,2009,premium unleaded (required),268.0,6.0,AUTOMATIC,rear wheel drive,2,,Midsize,Coupe,25,17,617,48100
2866,Land Rover,Range Rover Evoque,2017,premium unleaded (recommended),240.0,4.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,29,21,258,41800
2867,Chevrolet,Cruze,2015,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4,,Midsize,Sedan,42,28,1385,20095
2868,Subaru,Impreza WRX,2014,premium unleaded (required),265.0,4.0,MANUAL,all wheel drive,4,Performance,Compact,Sedan,25,19,640,25995
2869,Volkswagen,Golf SportWagen,2016,regular unleaded,170.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Wagon,35,25,873,22725
2870,Dodge,Durango,2017,regular unleaded,295.0,6.0,AUTOMATIC,rear wheel drive,4,,Large,4dr SUV,26,19,1851,41395
2871,Porsche,Boxster,2016,premium unleaded (required),315.0,6.0,MANUAL,rear wheel drive,2,,Compact,Convertible,28,20,1715,63900
2872,Oldsmobile,Toronado,1992,regular unleaded,170.0,6.0,AUTOMATIC,front wheel drive,2,,Large,Coupe,24,16,26,2000
2873,Volkswagen,Jetta GLI,2014,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,4,Performance,Midsize,Sedan,33,23,873,29775
2874,Hyundai,Veloster,2014,regular unleaded,132.0,4.0,AUTOMATED_MANUAL,front wheel drive,3,Hatchback,Compact,2dr Hatchback,36,28,1439,19050
2875,Chevrolet,TrailBlazer,2008,premium unleaded (required),390.0,8.0,AUTOMATIC,all wheel drive,4,"Factory Tuner,Performance",Midsize,4dr SUV,16,12,1385,34290
2876,Pontiac,Firebird,2002,premium unleaded (required),310.0,8.0,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Performance",Midsize,Convertible,23,16,210,32095
2877,Mercedes-Benz,M-Class,2014,premium unleaded (required),302.0,6.0,AUTOMATIC,rear wheel drive,4,"Crossover,Luxury",Midsize,4dr SUV,24,18,617,47790
2878,Audi,A4,2016,premium unleaded (required),220.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,31,22,3105,35900
2879,Chevrolet,Corvette,2015,premium unleaded (recommended),455.0,8.0,MANUAL,rear wheel drive,2,,Compact,Coupe,29,17,1385,59160
2880,Lexus,GS 450h,2015,premium unleaded (required),338.0,6.0,AUTOMATIC,rear wheel drive,4,"Luxury,Performance,Hybrid",Midsize,Sedan,34,29,454,61330
2881,Chrysler,Town and Country,2014,flex-fuel (unleaded/E85),283.0,6.0,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Passenger Minivan,25,17,1013,34465
2882,Infiniti,Q70,2016,premium unleaded (required),420.0,8.0,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,24,16,190,64550
2883,BMW,5 Series,2016,diesel,255.0,6.0,AUTOMATIC,rear wheel drive,4,"Diesel,Luxury",Large,Sedan,38,26,3916,57350
2884,Land Rover,Range Rover,2015,flex-fuel (premium unleaded required/E85),510.0,8.0,AUTOMATIC,four wheel drive,4,"Flex Fuel,Luxury,High-Performance",Large,4dr SUV,19,13,258,118845
2885,Infiniti,Q70,2014,premium unleaded (required),420.0,8.0,AUTOMATIC,rear wheel drive,4,"Luxury,Performance",Large,Sedan,24,16,190,62100
2886,Infiniti,QX4,2001,premium unleaded (required),240.0,6.0,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,4dr SUV,18,14,190,34150
2887,Ford,Explorer Sport,2003,regular unleaded,203.0,6.0,AUTOMATIC,rear wheel drive,2,,Midsize,2dr SUV,19,14,5657,22545
2888,Volkswagen,GLI,2008,premium unleaded (required),200.0,4.0,MANUAL,front wheel drive,4,Performance,Compact,Sedan,29,20,873,24300
2889,BMW,Z3,2002,premium unleaded (required),225.0,6.0,MANUAL,rear wheel drive,2,"Hatchback,Luxury,Performance",Compact,2dr Hatchback,26,19,3916,37700
2890,Nissan,Murano,2015,regular unleaded,260.0,6.0,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,28,21,2009,29560
2891,Toyota,Venza,2014,regular unleaded,181.0,4.0,AUTOMATIC,front wheel drive,4,Crossover,Midsize,Wagon,26,20,2031,31810
2892,Dodge,Challenger,2016,regular unleaded,375.0,8.0,MANUAL,rear wheel drive,2,,Large,Coupe,23,15,1851,35995
2893,Volkswagen,Beetle,2016,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,2,,Compact,2dr Hatchback,31,23,873,25995
2894,Mazda,626,2000,regular unleaded,170.0,6.0,MANUAL,front wheel drive,4,,Midsize,Sedan,25,19,586,2080
2895,Lincoln,MKC,2016,regular unleaded,240.0,4.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury",Compact,4dr SUV,26,19,61,48950
2896,Plymouth,Breeze,2000,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4,,Midsize,Sedan,34,23,535,2000
2897,Volvo,740,1991,regular unleaded,114.0,4.0,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,24,18,870,2000
2898,Volvo,C30,2011,premium unleaded (recommended),227.0,5.0,MANUAL,front wheel drive,2,,Compact,2dr Hatchback,29,21,870,24700
2899,Ford,Fiesta,2016,regular unleaded,120.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,27,5657,18830
2900,Honda,Accord,2016,regular unleaded,189.0,4.0,MANUAL,front wheel drive,4,,Midsize,Sedan,34,23,2202,24265
2901,Mercedes-Benz,SL-Class,2016,premium unleaded (required),621.0,12.0,AUTOMATIC,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,21,14,617,217550
2902,Toyota,4Runner,2016,regular unleaded,270.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,22,17,2031,34010
2903,Lamborghini,Aventador,2015,premium unleaded (required),700.0,12.0,AUTOMATED_MANUAL,all wheel drive,2,,Midsize,Convertible,16,10,1158,441600
2904,Toyota,Tacoma,2016,regular unleaded,278.0,6.0,AUTOMATIC,four wheel drive,4,,Compact,Crew Cab Pickup,23,18,2031,34090
2905,Buick,Riviera,1999,regular unleaded,240.0,6.0,AUTOMATIC,front wheel drive,2,,Large,Coupe,25,16,155,2379
2906,Lincoln,MKZ,2017,regular unleaded,201.0,4.0,AUTOMATIC,front wheel drive,4,"Luxury,Hybrid",Midsize,Sedan,38,41,61,36760
2907,Ford,F-150,2017,flex-fuel (unleaded/E85),282.0,6.0,AUTOMATIC,rear wheel drive,4,Flex Fuel,Large,Crew Cab Pickup,25,18,5657,35055
2908,Mercedes-Benz,E-Class,2015,premium unleaded (required),302.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,Sedan,29,24,617,57100
2909,Toyota,Tacoma,2017,regular unleaded,159.0,4.0,AUTOMATIC,four wheel drive,4,,Compact,Extended Cab Pickup,22,19,2031,29280
2910,Toyota,Venza,2014,regular unleaded,181.0,4.0,AUTOMATIC,front wheel drive,4,Crossover,Midsize,Wagon,26,20,2031,27950
2911,Honda,Accord Plug-In Hybrid,2014,regular unleaded,196.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,46,47,2202,39780
2912,Dodge,Ram Cargo,2001,regular unleaded,175.0,6.0,AUTOMATIC,rear wheel drive,3,,Large,Cargo Van,15,13,1851,20850
2913,Mazda,CX-7,2011,premium unleaded (recommended),244.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,4dr SUV,21,17,586,27955
2914,Nissan,Xterra,2013,regular unleaded,261.0,6.0,AUTOMATIC,four wheel drive,4,,Midsize,4dr SUV,20,15,2009,24990
2915,Infiniti,G35,2008,premium unleaded (required),306.0,6.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Midsize,Sedan,23,17,190,34750
2916,Oldsmobile,Bravada,2003,regular unleaded,275.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,20,14,26,33395
2917,Subaru,XV Crosstrek,2014,regular unleaded,148.0,4.0,MANUAL,all wheel drive,4,Crossover,Compact,4dr SUV,30,23,640,21995
2918,Plymouth,Colt,1994,regular unleaded,113.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,30,23,535,2000
2919,Volkswagen,Golf,2017,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,36,25,873,19895
2920,Chevrolet,Sonic,2017,regular unleaded,138.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,39,28,1385,19720
2921,Saab,09-Mar,2011,premium unleaded (recommended),210.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Wagon,27,19,376,37020
2922,Mercedes-Benz,C-Class,2017,premium unleaded (required),241.0,4.0,AUTOMATIC,all wheel drive,2,,Midsize,Convertible,29,22,617,52900
2923,Buick,Verano,2015,regular unleaded,180.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,32,21,155,25020
2924,Nissan,350Z,2008,regular unleaded,306.0,6.0,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Coupe,24,17,2009,37740
2925,Dodge,Dakota,2008,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4,,Compact,Extended Cab Pickup,18,14,1851,26280
2926,Hyundai,Tiburon,2007,regular unleaded,138.0,4.0,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,28,20,1439,16695
2927,Mercedes-Benz,SLK-Class,2014,premium unleaded (required),201.0,4.0,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,32,22,617,43525
2928,Lexus,ES 300h,2016,regular unleaded,200.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,39,40,454,41020
2929,Mitsubishi,3000GT,1998,regular unleaded,161.0,6.0,MANUAL,front wheel drive,2,Hatchback,Compact,2dr Hatchback,22,17,436,3701
2930,Toyota,RAV4,2017,regular unleaded,176.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,28,22,2031,36150
2931,Mercedes-Benz,C-Class,2016,premium unleaded (required),241.0,4.0,AUTOMATIC,rear wheel drive,4,,Midsize,Sedan,34,25,617,38950
2932,Cadillac,ATS Coupe,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,2,,Compact,Coupe,30,22,1624,48715
2933,Oldsmobile,Cutlass Ciera,1993,regular unleaded,160.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,24,17,26,2000
2934,Dodge,Ram Wagon,2001,regular unleaded,225.0,8.0,AUTOMATIC,rear wheel drive,3,,Midsize,Passenger Van,15,11,1851,23360
2935,Ford,Expedition,2017,regular unleaded,365.0,6.0,AUTOMATIC,rear wheel drive,4,,Large,4dr SUV,20,15,5657,58021
2936,Nissan,Truck,1997,regular unleaded,134.0,4.0,MANUAL,rear wheel drive,2,,Compact,Extended Cab Pickup,23,19,2009,2837
2937,BMW,6 Series,2015,premium unleaded (required),445.0,8.0,AUTOMATIC,rear wheel drive,2,"Luxury,High-Performance",Midsize,Convertible,25,17,3916,94900
2938,Toyota,Camry Solara,2008,regular unleaded,210.0,6.0,AUTOMATIC,front wheel drive,2,,Midsize,Coupe,27,18,2031,27155
2939,Honda,Pilot,2017,regular unleaded,280.0,6.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,26,19,2202,43470
2940,Nissan,370Z,2017,premium unleaded (required),332.0,6.0,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,26,18,2009,37070
2941,Buick,Encore,2017,regular unleaded,138.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,4dr SUV,33,25,155,24365
2942,Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,35,29,586,14530
2943,Nissan,Altima,2016,regular unleaded,182.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,39,27,2009,22500
2944,Mercedes-Benz,S-Class,2017,premium unleaded (required),577.0,8.0,AUTOMATIC,all wheel drive,2,"Factory Tuner,Luxury,High-Performance",Large,Convertible,22,14,617,176400
2945,Volkswagen,Golf GTI,2016,premium unleaded (recommended),210.0,4.0,MANUAL,front wheel drive,4,"Hatchback,Performance",Compact,4dr Hatchback,34,25,873,25595
2946,Pontiac,Vibe,2010,regular unleaded,158.0,4.0,AUTOMATIC,all wheel drive,4,Hatchback,Compact,4dr Hatchback,26,20,210,20275
2947,Suzuki,Kizashi,2013,regular unleaded,180.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,30,23,481,21749
2948,Infiniti,QX4,2001,premium unleaded (required),240.0,6.0,AUTOMATIC,four wheel drive,4,Luxury,Midsize,4dr SUV,17,14,190,35550
2949,Volkswagen,Rabbit,2008,regular unleaded,170.0,5.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,29,22,873,17575
2950,Mitsubishi,i-MiEV,2014,electric,115.0,0.0,DIRECT_DRIVE,rear wheel drive,4,Hatchback,Compact,4dr Hatchback,99,126,436,22995
2951,Ford,Explorer Sport Trac,2008,regular unleaded,210.0,6.0,AUTOMATIC,four wheel drive,4,,Compact,Crew Cab Pickup,19,13,5657,27925
2952,Dodge,Omni,1990,regular unleaded,93.0,4.0,MANUAL,front wheel drive,4,Hatchback,Compact,4dr Hatchback,31,22,1851,2000
2953,Subaru,Crosstrek,2017,regular unleaded,148.0,4.0,MANUAL,all wheel drive,4,,Compact,4dr SUV,30,23,640,21695
2954,Porsche,911,2016,premium unleaded (required),350.0,6.0,MANUAL,rear wheel drive,2,,Compact,Convertible,27,19,1715,96200
2955,Buick,Estate Wagon,1990,regular unleaded,140.0,8.0,AUTOMATIC,rear wheel drive,4,,Large,Wagon,22,15,155,2000
2956,Oldsmobile,Cutlass Ciera,1993,regular unleaded,160.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,28,21,26,2000
2957,Mercedes-Benz,S-Class,2015,premium unleaded (required),449.0,8.0,AUTOMATIC,all wheel drive,4,"Luxury,High-Performance",Large,Sedan,26,16,617,97400
2958,Cadillac,ATS,2016,premium unleaded (recommended),272.0,4.0,AUTOMATIC,all wheel drive,4,,Midsize,Sedan,30,22,1624,45155
2959,Honda,Pilot,2017,regular unleaded,280.0,6.0,AUTOMATIC,all wheel drive,4,Crossover,Midsize,4dr SUV,26,18,2202,35830
2960,Chevrolet,TrailBlazer,2009,premium unleaded (recommended),390.0,8.0,AUTOMATIC,all wheel drive,4,"Factory Tuner,Performance",Midsize,4dr SUV,16,12,1385,39330
2961,Cadillac,XTS,2016,regular unleaded,304.0,6.0,AUTOMATIC,all wheel drive,4,"Luxury,Performance",Large,Sedan,26,17,1624,51250
2962,Mercedes-Benz,CLK-Class,2007,premium unleaded (required),382.0,8.0,AUTOMATIC,rear wheel drive,2,,Compact,Convertible,22,15,617,62900
2963,Chrysler,Prowler,2002,premium unleaded (required),253.0,6.0,AUTOMATIC,rear wheel drive,2,High-Performance,Compact,Convertible,21,16,1013,44625
2964,Suzuki,Grand Vitara,2012,regular unleaded,166.0,4.0,AUTOMATIC,four wheel drive,4,Crossover,Compact,4dr SUV,23,19,481,23949
2965,Suzuki,Esteem,2002,regular unleaded,122.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,32,24,481,14299
2966,Toyota,Highlander,2015,regular unleaded,270.0,6.0,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,25,19,2031,33290
2967,Dodge,Avenger,2012,regular unleaded,173.0,4.0,AUTOMATIC,front wheel drive,4,,Midsize,Sedan,31,20,1851,21495
2968,Chevrolet,TrailBlazer,2007,regular unleaded,291.0,6.0,AUTOMATIC,rear wheel drive,4,,Midsize,4dr SUV,20,14,1385,27970
2969,Volkswagen,Golf SportWagen,2017,regular unleaded,170.0,4.0,MANUAL,front wheel drive,4,,Compact,Wagon,35,25,873,21580
2970,GMC,Rally Wagon,1995,regular unleaded,165.0,6.0,AUTOMATIC,rear wheel drive,3,,Compact,Passenger Van,15,13,549,2000
2971,BMW,4 Series,2015,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916,48750
2972,Plymouth,Neon,1999,regular unleaded,132.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,36,24,535,2000
2973,Volkswagen,Golf,2015,diesel,150.0,4.0,AUTOMATED_MANUAL,front wheel drive,4,"Hatchback,Diesel",Compact,4dr Hatchback,43,31,873,26995
2974,Chrysler,Crossfire,2006,premium unleaded (required),215.0,6.0,MANUAL,rear wheel drive,2,,Compact,Convertible,23,15,1013,38545
2975,Mercedes-Benz,GL-Class,2016,diesel,240.0,6.0,AUTOMATIC,all wheel drive,4,"Crossover,Luxury,Diesel",Large,4dr SUV,26,19,617,63600
2976,Mercedes-Benz,E-Class,2016,premium unleaded (required),302.0,6.0,AUTOMATIC,all wheel drive,4,,Midsize,Wagon,27,20,617,59900
2977,Mazda,MX-5 Miata,2015,premium unleaded (recommended),158.0,4.0,AUTOMATIC,rear wheel drive,2,Performance,Compact,Convertible,28,21,586,26230
2978,Bentley,Continental GT3-R,2015,premium unleaded (required),572.0,8.0,AUTOMATIC,all wheel drive,2,,Midsize,Coupe,23,13,520,337000
2979,Chevrolet,Impala,2016,flex-fuel (unleaded/E85),305.0,6.0,AUTOMATIC,front wheel drive,4,"Flex Fuel,Performance",Large,Sedan,29,19,1385,30435
2980,Ford,Windstar,2001,regular unleaded,200.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Passenger Minivan,22,16,5657,33765
2981,BMW,4 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,rear wheel drive,2,Luxury,Midsize,Convertible,34,23,3916,50000
2982,Nissan,350Z,2008,regular unleaded,306.0,6.0,MANUAL,rear wheel drive,2,High-Performance,Compact,Coupe,25,18,2009,33340
2983,Lexus,GS 200t,2017,premium unleaded (required),241.0,4.0,AUTOMATIC,rear wheel drive,4,Luxury,Midsize,Sedan,32,22,454,46310
2984,Lincoln,MKZ,2015,regular unleaded,231.0,4.0,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,33,22,61,45555
2985,Audi,S6,2016,premium unleaded (required),450.0,8.0,AUTOMATED_MANUAL,all wheel drive,4,"Factory Tuner,Luxury,High-Performance",Midsize,Sedan,27,18,3105,70900
2986,Volkswagen,Routan,2010,regular unleaded,197.0,6.0,AUTOMATIC,front wheel drive,4,,Midsize,Passenger Minivan,23,16,873,32600
2987,Lincoln,Mark VIII,1997,regular unleaded,280.0,8.0,AUTOMATIC,rear wheel drive,2,Luxury,Large,Coupe,24,16,61,2263
2988,Cadillac,CTS,2016,premium unleaded (recommended),268.0,4.0,AUTOMATIC,rear wheel drive,4,,Large,Sedan,31,21,1624,56285
2989,Audi,allroad quattro,2003,regular unleaded,250.0,6.0,MANUAL,all wheel drive,4,,Midsize,Wagon,21,14,3105,39950
2990,Suzuki,Equator,2012,regular unleaded,152.0,4.0,MANUAL,rear wheel drive,4,,Compact,Extended Cab Pickup,23,19,481,17899
2991,Ford,F-150 Heritage,2004,regular unleaded,202.0,6.0,MANUAL,four wheel drive,2,,Large,Regular Cab Pickup,18,13,5657,26575
2992,Chevrolet,Spark EV,2016,electric,140.0,0.0,DIRECT_DRIVE,front wheel drive,4,Hatchback,Compact,4dr Hatchback,109,128,1385,25120
2993,Toyota,ECHO,2005,regular unleaded,108.0,4.0,AUTOMATIC,front wheel drive,4,,Compact,Sedan,36,28,2031,11785
2994,Volkswagen,Golf R,2016,premium unleaded (recommended),292.0,4.0,AUTOMATED_MANUAL,all wheel drive,4,"Hatchback,Factory Tuner,High-Performance",Compact,4dr Hatchback,30,23,873,36750
2995,Chevrolet,Cavalier,2004,regular unleaded,140.0,4.0,MANUAL,front wheel drive,4,,Compact,Sedan,33,23,1385,16105
2996,Mitsubishi,Expo,1993,regular unleaded,136.0,4.0,MANUAL,four wheel drive,4,,Compact,4dr Hatchback,22,17,436,2000
2997,Chrysler,200,2016,flex-fuel (unleaded/E85),184.0,4.0,AUTOMATIC,front wheel drive,4,Flex Fuel,Midsize,Sedan,36,23,1013,27795
2998,Dodge,Caravan,2005,regular unleaded,180.0,6.0,AUTOMATIC,front wheel drive,4,,Large,Passenger Minivan,24,17,1851,22225
2999,Hyundai,Santa Fe Sport,2016,regular unleaded,265.0,4.0,AUTOMATIC,front wheel drive,4,Crossover,Midsize,4dr SUV,27,19,1439,31250
3000,Volkswagen,Tiguan,2015,premium unleaded (recommended),200.0,4.0,AUTOMATIC,all wheel drive,4,Crossover,Compact,4dr SUV,26,20,873,28230
3001,Chevrolet,Tracker,2002,regular unleaded,127.0,4.0,MANUAL,rear wheel drive,4,,Compact,4dr SUV,24,20,1385,16790
